Historia,Modelo,Tipo Diagrama,ROUGE Tipo,Recall 1,Recall 2,Recall 3,Recall 4,Recall 5,Recall 6,Recall 7,Recall 8,Recall 9,Recall 10
HU01,llama,clases,rougeL,,,,,,,,,,
HU01,deepseek,clases,rougeL,0.545,0.455,0.545,0.545,0.545,0.545,0.545,,0.364,0.545
HU01,gemini,clases,rougeL,0.636,0.545,0.545,0.636,0.636,0.364,0.636,0.636,0.455,0.364
HU01,claude,clases,rougeL,0.727,0.727,0.727,0.818,0.727,0.818,0.818,0.727,0.818,0.818
HU01,gpt,clases,rougeL,0.636,0.636,0.636,0.727,0.636,0.818,0.636,0.636,0.727,0.545
HU01,mistral,clases,rougeL,0.545,0.455,0.455,0.636,0.727,0.636,0.545,0.545,0.364,0.545
HU02,llama,clases,rougeL,,,,0.538,,,0.462,,,
HU02,deepseek,clases,rougeL,0.385,0.462,0.462,0.462,0.462,0.385,0.462,,0.462,0.462
HU02,gemini,clases,rougeL,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
HU02,claude,clases,rougeL,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
HU02,gpt,clases,rougeL,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538
HU02,mistral,clases,rougeL,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462,0.462
HU03,llama,clases,rougeL,0.304,0.348,0.304,0.435,0.261,0.348,,0.522,,0.261
HU03,deepseek,clases,rougeL,0.261,0.348,,0.391,,0.609,0.565,0.522,0.435,0.435
HU03,gemini,clases,rougeL,0.652,0.609,0.478,0.565,0.522,0.652,0.696,0.696,0.391,0.609
HU03,claude,clases,rougeL,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.652,0.652
HU03,gpt,clases,rougeL,0.478,0.522,0.522,0.696,0.565,0.478,0.696,0.696,0.565,0.522
HU03,mistral,clases,rougeL,0.435,0.522,0.565,0.478,0.391,,0.565,0.478,0.609,0.522
HU04,llama,clases,rougeL,0.222,,,0.333,0.148,0.333,0.444,0.259,0.444,0.296
HU04,deepseek,clases,rougeL,0.593,0.407,0.63,0.519,0.481,0.556,,0.37,0.63,0.259
HU04,gemini,clases,rougeL,0.741,0.741,0.778,0.741,0.741,0.704,0.63,0.667,0.741,0.741
HU04,claude,clases,rougeL,0.704,0.704,0.704,0.741,0.704,0.704,0.741,0.63,0.704,0.741
HU04,gpt,clases,rougeL,0.63,0.667,0.63,,0.704,0.63,0.556,0.593,0.481,0.667
HU04,mistral,clases,rougeL,0.407,0.37,0.333,0.259,0.259,0.259,0.333,0.259,0.333,0.296
HU05,llama,clases,rougeL,0.357,,0.429,0.429,0.429,0.5,0.429,0.5,0.429,0.429
HU05,deepseek,clases,rougeL,,0.357,0.429,0.357,0.429,0.429,0.357,,0.429,0.286
HU05,gemini,clases,rougeL,0.643,0.714,0.643,0.643,0.714,0.786,0.5,0.714,0.714,0.571
HU05,claude,clases,rougeL,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
HU05,gpt,clases,rougeL,0.429,0.357,0.429,0.5,0.5,0.429,0.357,0.357,0.5,0.357
HU05,mistral,clases,rougeL,0.286,0.429,0.286,0.286,0.357,0.5,0.357,0.5,0.5,0.429
HU06,llama,clases,rougeL,,,,,,,,,,
HU06,deepseek,clases,rougeL,0.214,0.25,,0.107,0.107,0.214,0.107,0.25,0.214,0.214
HU06,gemini,clases,rougeL,0.25,0.286,0.25,0.214,0.214,0.214,0.286,0.25,0.286,0.25
HU06,claude,clases,rougeL,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286
HU06,gpt,clases,rougeL,0.179,0.286,0.321,0.143,0.25,0.286,0.321,0.286,0.357,0.25
HU06,mistral,clases,rougeL,,0.179,0.214,0.143,0.214,0.179,0.214,0.25,0.179,0.179
HU07,llama,clases,rougeL,,,,,,,,,,
HU07,deepseek,clases,rougeL,0.444,0.556,0.389,0.444,,0.611,0.5,0.444,,
HU07,gemini,clases,rougeL,0.556,0.5,0.722,0.5,0.5,0.611,0.611,0.5,0.611,0.5
HU07,claude,clases,rougeL,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.611,0.5
HU07,gpt,clases,rougeL,0.5,0.667,0.667,0.5,0.722,0.5,0.611,0.722,0.5,0.722
HU07,mistral,clases,rougeL,0.389,0.444,,0.444,0.444,,,0.444,0.389,0.333
HU08,llama,clases,rougeL,,,0.429,0.343,,,,,0.229,
HU08,deepseek,clases,rougeL,0.343,0.371,0.343,0.429,0.343,0.314,0.429,0.371,0.371,0.229
HU08,gemini,clases,rougeL,0.429,0.457,0.457,0.486,0.429,0.429,0.429,0.514,0.457,0.457
HU08,claude,clases,rougeL,0.543,0.543,0.543,0.543,0.543,0.514,0.514,0.514,0.543,0.543
HU08,gpt,clases,rougeL,0.4,0.429,0.4,0.343,0.371,0.514,0.6,0.657,0.486,0.286
HU08,mistral,clases,rougeL,0.371,0.314,0.314,0.314,0.314,0.343,,0.486,0.314,0.314
HU09,llama,clases,rougeL,0.316,,,,0.447,0.316,,,,
HU09,deepseek,clases,rougeL,0.342,0.474,0.342,0.474,0.5,0.368,0.342,0.395,,0.132
HU09,gemini,clases,rougeL,0.421,0.289,0.474,0.474,0.421,0.289,0.605,0.632,0.316,0.316
HU09,claude,clases,rougeL,0.316,0.316,0.289,0.421,0.316,0.289,0.289,0.421,0.316,0.421
HU09,gpt,clases,rougeL,0.474,0.5,0.447,0.395,0.474,0.526,0.368,0.447,0.553,0.526
HU09,mistral,clases,rougeL,0.421,0.421,0.421,0.5,0.395,0.5,0.5,0.421,0.474,0.421
HU10,llama,clases,rougeL,,,,,,,,,,
HU10,deepseek,clases,rougeL,,0.205,0.179,0.103,0.231,0.205,0.231,0.179,0.179,0.179
HU10,gemini,clases,rougeL,0.308,0.41,0.282,0.359,0.462,0.41,0.333,0.359,0.41,0.436
HU10,claude,clases,rougeL,0.359,0.436,0.385,0.41,0.385,0.385,0.462,0.436,0.359,0.41
HU10,gpt,clases,rougeL,0.205,0.179,0.231,0.205,0.179,0.179,0.128,0.231,0.231,0.179
HU10,mistral,clases,rougeL,0.256,0.256,0.256,0.282,0.154,0.256,0.256,0.205,0.282,0.256